id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
40639494,2015.0,0,3.0,3.0,0,0,4,1.0,1.0,2.0,151.0,1,2,1125,2,2,1125,1125,2.0,1125.0,29,52,82,357,2,2,0,3,3,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,521.9021479713604
31346883,2019.0,0,2.0,2.0,0,1,3,3.5,1.0,1.0,79.0,1,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,1,1,1,2,0,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,521.9021479713604
41142332,2015.0,0,5.0,5.0,0,1,2,1.0,1.0,1.0,369.0,4,5,180,5,8,180,180,5.1,180.0,26,51,81,356,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,521.9021479713604
14552730,2013.0,0,4.0,4.0,0,0,4,1.0,1.0,3.0,252.0,1,3,89,3,3,89,89,3.0,89.0,29,55,85,360,1,1,0,4,4,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,521.9021479713604
20691959,2014.0,0,1.0,1.0,0,0,1,1.0,0.0,1.0,184.0,1,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,521.9021479713604
40677324,2018.0,0,2.0,2.0,0,0,4,1.0,0.0,1.0,1699.0,1,1,4,1,1,4,4,1.0,4.0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,521.9021479713604
18669867,2017.0,0,1.0,1.0,0,1,2,1.0,1.0,2.0,159.0,1,1,1125,1,1,1125,1125,1.0,1125.0,29,56,86,361,13,6,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,521.9021479713604
41402295,2020.0,0,1.0,1.0,0,0,2,2.0,1.0,2.0,134.0,1,2,10,2,2,10,10,2.0,10.0,21,44,74,74,2,2,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,521.9021479713604
41085203,2019.0,0,0.0,0.0,0,0,4,1.0,1.0,4.0,302.0,1,1,1125,1,1,1125,1125,1.0,1125.0,30,58,88,363,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,521.9021479713604
40754647,2015.0,1,3.0,3.0,0,1,6,2.0,2.0,3.0,399.0,4,3,90,3,4,1125,1125,3.0,1125.0,22,47,77,87,0,0,1,4,4,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,521.9021479713604
